"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2011","Portugal","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","202",""
"2012","Portugal","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","248",""
"2013","Portugal","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","273",""
"2014","Portugal","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","339",""
"2005","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2009","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2010","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2011","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","1",""
"2012","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","2",""
"2013","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","305",""
"2014","Romania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","1,243",""
"2005","Slovenia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Slovenia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
