"TIME","GEO","INTRT","Value","Flag and Footnotes"
"2013M07","Bulgaria","EMU convergence criterion bond yields","3.46",""
"2013M08","Bulgaria","EMU convergence criterion bond yields","3.51",""
"2013M09","Bulgaria","EMU convergence criterion bond yields","3.64",""
"2013M10","Bulgaria","EMU convergence criterion bond yields","3.71",""
"2013M11","Bulgaria","EMU convergence criterion bond yields","3.64",""
"2013M12","Bulgaria","EMU convergence criterion bond yields","3.43",""
"2014M01","Bulgaria","EMU convergence criterion bond yields","3.56",""
"2014M02","Bulgaria","EMU convergence criterion bond yields","3.58",""
"2014M03","Bulgaria","EMU convergence criterion bond yields","3.54",""
"2014M04","Bulgaria","EMU convergence criterion bond yields","3.44",""
"2014M05","Bulgaria","EMU convergence criterion bond yields","3.18",""
"2014M06","Bulgaria","EMU convergence criterion bond yields","3.11",""
"2014M07","Bulgaria","EMU convergence criterion bond yields","3.38",""
"2014M08","Bulgaria","EMU convergence criterion bond yields","3.41",""
"2014M09","Bulgaria","EMU convergence criterion bond yields","3.26",""
"2014M10","Bulgaria","EMU convergence criterion bond yields","3.31",""
"2014M11","Bulgaria","EMU convergence criterion bond yields","3.44",""
"2014M12","Bulgaria","EMU convergence criterion bond yields","2.96",""
"2015M01","Bulgaria","EMU convergence criterion bond yields","2.95",""
"2015M02","Bulgaria","EMU convergence criterion bond yields","2.52",""
"2015M03","Bulgaria","EMU convergence criterion bond yields","2.49",""
"2015M04","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M05","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M06","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M07","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M08","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M09","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M10","Bulgaria","EMU convergence criterion bond yields","2.36",""
"2015M11","Bulgaria","EMU convergence criterion bond yields","2.99",""
"2015M12","Bulgaria","EMU convergence criterion bond yields","2.43",""
"2016M01","Bulgaria","EMU convergence criterion bond yields","2.44",""
"2016M02","Bulgaria","EMU convergence criterion bond yields","2.67",""
"2016M03","Bulgaria","EMU convergence criterion bond yields","2.66",""
