TIME,GEO,INTRT,Value
2004,Spain,EMU convergence criterion bond yields,4.103333333
2009,Spain,EMU convergence criterion bond yields,3.979166667
2006,Spain,EMU convergence criterion bond yields,3.785
2005,Spain,EMU convergence criterion bond yields,3.3875
2014,Spain,EMU convergence criterion bond yields,2.723333333
2015,Spain,EMU convergence criterion bond yields,1.735833333
2000,Sweden,EMU convergence criterion bond yields,5.3675
2002,Sweden,EMU convergence criterion bond yields,5.303333333
2001,Sweden,EMU convergence criterion bond yields,5.1075
2003,Sweden,EMU convergence criterion bond yields,4.638333333
2004,Sweden,EMU convergence criterion bond yields,4.425
2007,Sweden,EMU convergence criterion bond yields,4.1675
2008,Sweden,EMU convergence criterion bond yields,3.888333333
2006,Sweden,EMU convergence criterion bond yields,3.705
2005,Sweden,EMU convergence criterion bond yields,3.383333333
2009,Sweden,EMU convergence criterion bond yields,3.25
2010,Sweden,EMU convergence criterion bond yields,2.893333333
2011,Sweden,EMU convergence criterion bond yields,2.605
2013,Sweden,EMU convergence criterion bond yields,2.120833333
2014,Sweden,EMU convergence criterion bond yields,1.715833333
2012,Sweden,EMU convergence criterion bond yields,1.5925
2015,Sweden,EMU convergence criterion bond yields,0.719166667
2000,United Kingdom,EMU convergence criterion bond yields,5.326666667
2007,United Kingdom,EMU convergence criterion bond yields,5.060833333
2001,United Kingdom,EMU convergence criterion bond yields,5.009166667
2004,United Kingdom,EMU convergence criterion bond yields,4.925833333
2002,United Kingdom,EMU convergence criterion bond yields,4.915
2003,United Kingdom,EMU convergence criterion bond yields,4.578333333
2008,United Kingdom,EMU convergence criterion bond yields,4.500833333
2005,United Kingdom,EMU convergence criterion bond yields,4.458333333
2006,United Kingdom,EMU convergence criterion bond yields,4.374166667
2010,United Kingdom,EMU convergence criterion bond yields,3.364166667
2009,United Kingdom,EMU convergence criterion bond yields,3.359166667
2011,United Kingdom,EMU convergence criterion bond yields,2.869166667
2014,United Kingdom,EMU convergence criterion bond yields,2.14
2013,United Kingdom,EMU convergence criterion bond yields,2.026666667
2015,United Kingdom,EMU convergence criterion bond yields,1.793333333
2012,United Kingdom,EMU convergence criterion bond yields,1.744166667
